,s1,s2,score_gold,rank_gold,score_WRD,rank_WRD,score_COS,rank_COS,score_ROTS4,rank_ROTS4,score_ROTSmean,rank_ROTSmean,SCORE_SELECTION,RANK_SELECTION
1317,stones add second hyde park concert,rolling stones add second hyde park date,5,1367,0.715716743,1135,0.751917659,918,0.997777499,1196,0.867933781,1094,0.527920596,339
38,a woman is dancing in the rain .,a woman dances in the rain out side .,5,1284,0.659490641,1011,0.799632016,1058,1.006763543,1210,0.901749437,1162,0.527350257,351
1346,tokyo to host 2020 games,tokyo wins race to host 2020 olympic games,4.8,1281,0.598582871,861,0.79027026,1030,0.923192739,1069,0.849274229,1056,0.457532347,247
656,you guys are making this all waaaaay too complicated .,you are making this too complicated .,5,1315,0.595094097,848,0.771633231,972,0.909970909,1035,0.835315057,1017,0.453214489,250
1226,defiant mugabe sworn in for seventh term blasts ' vile ' west,mugabe sworn in for another term,4,1141,0.446556384,443,0.64870513,665,0.771703863,753,0.704645023,713,0.448146211,398
1132,gazans fire 2 rockets into israel ; no injuries,2 gaza rockets hit israel ; no injuries,4.8,1272,0.683466093,1059,0.791230472,1032,0.958977608,1131,0.866075046,1087,0.443258651,171
31,a young woman is putting stickers all over her face .,a woman is applying stickers to her face .,4.8,1255,0.644852886,971,0.791506857,1036,0.983411943,1166,0.883676712,1123,0.436816372,325
96,a woman is slicing some tofu .,a woman is cutting a block of tofu into small cubes .,4,1043,0.471056692,506,0.674620309,732,0.785125523,781,0.727363414,773,0.424574044,324
290,blue and red plane in mid-air flight .,a blue and red airplane while in flight .,4.8,1257,0.60278417,873,0.766649432,964,0.893483444,999,0.828982768,994,0.417533287,161
480,two black dogs are playing on the grass .,two black dogs are playing in a grassy plain .,4.6,1235,0.670908363,1037,0.758806831,940,0.919424087,1060,0.834634453,1015,0.40913298,143
727,you answered your own question .,you 've answered your own question already .,5,1326,0.707828215,1112,0.881988769,1246,0.999462229,1200,0.934460572,1219,0.409107473,42
1336,polar bear dna ' may help fight obesity',polar bear study may boost fight against obesity,4.8,1279,0.689934598,1075,0.801264168,1063,0.970818591,1150,0.879775436,1116,0.407164051,162
444,two dogs are running through the grass near a house and trees .,two dogs are running through a green yard,4.2,1162,0.540136417,704,0.690429193,778,0.816060044,848,0.750212268,827,0.401554478,214
782,you got it right .,you 've got it right .,5,1336,0.668330744,1030,0.79188994,1038,0.929638705,1084,0.860016952,1076,0.399056726,100
327,three goats are being rounded up by a dog .,three goats are chased by a dog .,4.6,1226,0.621430136,918,0.714360414,833,0.866997713,940,0.789141716,906,0.398204875,129
833,"unfortunately , this question cannot be answered in its full generality .",this cannot be answered in general .,4,1108,0.476592814,526,0.68525533,768,0.77900296,765,0.73103404,779,0.396157776,236
1326,prominent aids researchers killed in malaysian plane crash,top aids researcher killed in malaysia plane crash,5,1370,0.765091286,1225,0.834575196,1149,0.996871255,1193,0.912724538,1187,0.394076028,12
104,an oriental lady is cutting a carrot into thin pieces .,a woman is slicing a carrot .,3.6,926,0.387511304,328,0.59559643,530,0.686667544,563,0.640398252,553,0.390227356,268
877,it rather depends on which country you 're in .,that depends on which country you are in .,5,1356,0.669456279,1036,0.853734998,1188,0.95627624,1126,0.898590887,1155,0.389361203,28
465,a brown dog is running through the field .,a brown dog with his tongue wagging as he runs through a field,4,1068,0.534202938,684,0.628504997,610,0.774733422,756,0.692835682,681,0.386758909,218
13,a man is slicing open a fish .,a man is cutting up a fish .,4.4,1187,0.633333789,950,0.7122662,828,0.865482743,930,0.787677145,903,0.385365497,82
818,it 's also a matter of taste .,it 's mostly a matter of taste .,5,1342,0.723753802,1157,0.849795212,1179,0.978219158,1159,0.90546367,1170,0.382889302,-18
1156,ton up : tendulkar reaches 100th international hundred,sachin tendulkar 's reaches 100 centuries - in pictures,3.8,1026,0.454738906,467,0.666308942,715,0.769907176,748,0.717127722,745,0.379137801,314
1299,georgian pm 's ally to become president - exit poll,ally of georgia 's billionaire pm to be president -exit polls,4.6,1246,0.701940912,1098,0.74716039,906,0.925904102,1071,0.827599476,989,0.379090494,138
674,i 've had this same problem .,i had this same problem .,5,1320,0.689824532,1074,0.791472955,1035,0.927504156,1077,0.854227464,1067,0.373710825,45
1255,new zealand set to legalise gay marriage,new zealand votes to legalise same-sex marriage,4.6,1244,0.63247646,947,0.795601236,1047,0.89957364,1010,0.841932381,1032,0.371069584,26
482,a man in a black suit is surfing along a crashing wave .,a surfer wearing a black wet suit is riding a a white wave in the ocean .,4.6,1236,0.520425223,643,0.704602808,813,0.79795796,809,0.744435853,811,0.370887889,162
410,boy and white dog running in grassy field,a boy and a dog running on grass,4.4,1197,0.6043582,876,0.7542651,925,0.864546973,927,0.797204958,922,0.370470647,53
875,i agree with the other comments .,i agree with the previous comments .,5,1355,0.746074763,1193,0.847641505,1174,1.018370844,1228,0.929187245,1208,0.369542044,89
585,a flock of birds hovered over the sandy beach .,birds are flying at a beach .,3.8,1011,0.490023014,570,0.647063172,659,0.75228561,707,0.699153482,698,0.367485034,185
1364,abbvie sours on $ 55b shire deal after tax changes,abbvie cools on $ 55bn shire deal after us tax changes,5,1378,0.676826479,1050,0.711196817,825,0.876445554,964,0.78492341,896,0.364867812,53
839,i had the same problem as you .,i have exactly the same problem .,5,1346,0.642343201,965,0.821547382,1114,0.913673723,1047,0.861033026,1078,0.363456864,15
1357,"mt gox reveals 200,000 ' forgotten ' bitcoin haul","mt gox finds 200,000 ' forgotten ' bitcoins",5,1377,0.737298245,1176,0.857148637,1196,1.021248805,1232,0.931877823,1213,0.363055508,92
113,a cheetah is running behind its prey .,a cheetah chases prey on across a field .,4.4,1191,0.47799707,532,0.669515984,721,0.754237226,716,0.709478745,728,0.360961397,179
1234,n korea postpones family reunions,north korea postpones war-torn family unions,3.8,1034,0.49148514,574,0.661419328,703,0.756218537,719,0.70202626,708,0.359532605,161
631,you do not need to worry .,you don 't have to worry .,5,1312,0.6106455,899,0.796190956,1050,0.882818551,978,0.837959496,1024,0.358800645,7
947,"second comes hp ( 27 percent with $ 2.9 billion , up just 0.4 percent ) .",hp fell to second place with server sales growing 0.4 percent to $ 2.9 billion .,4.4,1203,0.587792695,833,0.781855322,1003,0.89595089,1003,0.832683291,1007,0.358450203,170
829,i 'm thinking it 's a bad idea .,i think it 's a bad idea .,5,1344,0.687053596,1067,0.856683329,1193,0.949821047,1114,0.894647337,1147,0.355905169,-32
1025,"klarman was arrested by fbi agents in the hamptons , an exclusive summer resort enclave east of new york city .",klarman was arrested by fbi agents monday morning at his home in new york .,4,1127,0.449874403,457,0.567900739,470,0.68679631,564,0.623656436,514,0.355817477,201
71,a man is playing the guitar and singing .,a man sings with a guitar .,4.75,1250,0.692605278,1080,0.822508502,1117,0.935220417,1092,0.877833639,1111,0.355327054,-13
1322,croatia begins countdown to historic eu entry,croatia countdowns to joining eu,4.8,1277,0.513693225,626,0.630284694,614,0.749056098,703,0.685540407,664,0.354134278,166
133,a woman is stabbing a potato with a fork .,a woman is puncturing a potato with a fork .,5,1289,0.747020633,1196,0.788652441,1024,0.944728664,1107,0.86504495,1084,0.353784254,-6
87,a man is doing trick with play cards .,a man is performing a card trick .,5,1286,0.657874495,1009,0.755147163,931,0.882958556,979,0.813013464,955,0.352895454,18
755,i don 't see why there should be any problem with this whatsoever .,i don 't see why this could be a problem .,5,1330,0.63888349,957,0.759556035,947,0.875164159,958,0.8057612,936,0.351888794,12
447,a white dog with light brown markings has a stick in his mouth and his paws in the snow .,a white dog holds a stick in its mouth while it runs through snow .,4,1067,0.539141198,699,0.662280095,706,0.775510933,762,0.709112428,727,0.349600572,119
844,there are two things to consider :,i think there are two important things to consider :,5,1347,0.674130543,1043,0.885326783,1252,0.953590533,1121,0.909002868,1175,0.34772374,-53
217,a cat gets stuck on a moving ceiling fan .,a cat is swinging on a fan .,4.2,1152,0.428138581,402,0.58765966,514,0.68139718,548,0.629842397,530,0.346996119,180
142,a woman is climbing a cliff .,a woman is climbing a rock face .,4.5,1218,0.58946488,837,0.708493929,822,0.822288384,865,0.764650799,856,0.346617958,71
808,a few more point to think about :,a few things to think about :,5,1340,0.673247814,1041,0.78838562,1022,0.903404008,1022,0.844023666,1036,0.345174583,-19
1012,the device plays internet radio streams and comes with a 30-day trial of realnetworks ' rhapsody music service .,the product also streams internet radio and comes with a 30-day free trial for realnetworks ' rhapsody digital music subscription service .,5,1358,0.71207582,1125,0.837458228,1155,0.947316447,1110,0.885978499,1130,0.345098845,-60
1335,uk 's ex-premier margaret thatcher dies at 87,former british pm margaret thatcher dies,4,1144,0.539005542,698,0.680243883,751,0.819678331,857,0.742618921,807,0.341393913,265
69,a man is standing in front of the window and looking outside .,a man is staring out the window .,3.8,987,0.490015205,569,0.681865099,760,0.763490455,734,0.720964874,757,0.341138787,139
1191,syrian forces overrun rebel stronghold,syria army takes northern rebel stronghold,4,1139,0.505971564,612,0.722450986,851,0.783769437,779,0.750094338,826,0.339116324,95
1163,apple buying security firm authentec for $ 356 million,news summary : apple buying authentec for $ 356m,4.4,1207,0.529690577,670,0.587680439,515,0.72794338,655,0.648391287,578,0.338515744,125
1320,"car bomb at swedish consulate in libya 's benghazi , no casualties","car bomb hits swedish consulate in benghazi , none hurt",5,1368,0.712271891,1126,0.826353452,1127,0.938366876,1098,0.869180249,1097,0.338108409,-57
